uid,Country.Name,variable,value
1,Aruba,Country.Code,ABW
2,Andorra,Country.Code,AND
3,Afghanistan,Country.Code,AFG
4,Angola,Country.Code,AGO
5,Albania,Country.Code,ALB
6,Arab World,Country.Code,ARB
7,United Arab Emirates,Country.Code,ARE
8,Argentina,Country.Code,ARG
9,Armenia,Country.Code,ARM
10,American Samoa,Country.Code,ASM
11,Antigua and Barbuda,Country.Code,ATG
12,Australia,Country.Code,AUS
13,Austria,Country.Code,AUT
14,Azerbaijan,Country.Code,AZE
15,Burundi,Country.Code,BDI
16,Belgium,Country.Code,BEL
17,Benin,Country.Code,BEN
18,Burkina Faso,Country.Code,BFA
19,Bangladesh,Country.Code,BGD
20,Bulgaria,Country.Code,BGR
21,Bahrain,Country.Code,BHR
22,"Bahamas, The",Country.Code,BHS
23,Bosnia and Herzegovina,Country.Code,BIH
24,Belarus,Country.Code,BLR
25,Belize,Country.Code,BLZ
26,Bermuda,Country.Code,BMU
27,Bolivia,Country.Code,BOL
28,Brazil,Country.Code,BRA
29,Barbados,Country.Code,BRB
30,Brunei Darussalam,Country.Code,BRN
31,Bhutan,Country.Code,BTN
32,Botswana,Country.Code,BWA
33,Central African Republic,Country.Code,CAF
34,Canada,Country.Code,CAN
35,Central Europe and the Baltics,Country.Code,CEB
36,Switzerland,Country.Code,CHE
37,Channel Islands,Country.Code,CHI
38,Chile,Country.Code,CHL
39,China,Country.Code,CHN
40,Cote d'Ivoire,Country.Code,CIV
41,Cameroon,Country.Code,CMR
42,"Congo, Rep.",Country.Code,COG
43,Colombia,Country.Code,COL
44,Comoros,Country.Code,COM
45,Cabo Verde,Country.Code,CPV
46,Costa Rica,Country.Code,CRI
47,Caribbean small states,Country.Code,CSS
48,Cuba,Country.Code,CUB
49,Curacao,Country.Code,CUW
50,Cayman Islands,Country.Code,CYM
51,Cyprus,Country.Code,CYP
52,Czech Republic,Country.Code,CZE
53,Germany,Country.Code,DEU
54,Djibouti,Country.Code,DJI
55,Dominica,Country.Code,DMA
56,Denmark,Country.Code,DNK
57,Dominican Republic,Country.Code,DOM
58,Algeria,Country.Code,DZA
59,East Asia & Pacific (developing only),Country.Code,EAP
60,East Asia & Pacific (all income levels),Country.Code,EAS
61,Europe & Central Asia (developing only),Country.Code,ECA
62,Europe & Central Asia (all income levels),Country.Code,ECS
63,Ecuador,Country.Code,ECU
64,"Egypt, Arab Rep.",Country.Code,EGY
65,Euro area,Country.Code,EMU
66,Eritrea,Country.Code,ERI
67,Spain,Country.Code,ESP
68,Estonia,Country.Code,EST
69,Ethiopia,Country.Code,ETH
70,European Union,Country.Code,EUU
71,Fragile and conflict affected situations,Country.Code,FCS
72,Finland,Country.Code,FIN
73,Fiji,Country.Code,FJI
74,France,Country.Code,FRA
75,Faeroe Islands,Country.Code,FRO
