Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617623.27,89406586.73,113414400.3,150841574.7,186557162.7,220112878.4,227284060,253998002.9,308020287.9,411548360.7,446377569.6,388982992.8,375914806.2,327849981.7,330073056.7,346742877.5,481996190.4,611300146.9,721425970.1,795489459.1,1028989390,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100675,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20310881087,20841951232
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6666666667,6666666667,6666666667,6666666667,10000000000,10000000000,11428571429,5652173913,5274509804,4059431863,5039543188,7526446606,7648377524,6445041784,6152922936,9129594816,8936079251,12497346041,14188949241,19640862550,28233699333,41789493189,60448887583,84178084132,75492416520,82470894869,1.04116E+11,1.15342E+11,1.24163E+11,1.31401E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166676,709452572.3,1228071038,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373455,5652325082,7464446950,8376668352,9132558097,10701011524,12881353508,12044208086,11926957255,12890866743,12344529628,12916669736,13370191506
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25659088715,28308267322,31224239182,36229613726,43135168197,54780879976,1.04523E+11,1.15753E+11,1.44058E+11,1.65984E+11,1.83528E+11,2.47492E+11,3.36717E+11,3.46637E+11,3.22992E+11,3.02857E+11,3.06914E+11,3.02695E+11,2.88018E+11,3.11557E+11,3.06162E+11,3.20901E+11,4.43859E+11,4.36804E+11,4.67833E+11,4.73298E+11,4.8426E+11,5.20048E+11,5.74466E+11,6.09292E+11,5.87652E+11,6.40057E+11,7.30789E+11,7.19116E+11,7.24856E+11,8.18121E+11,9.5948E+11,1.17976E+12,1.39864E+12,1.63485E+12,2.07394E+12,1.79384E+12,2.098E+12,2.48939E+12,2.74551E+12,2.84348E+12,2.85584E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672878,19213022837,24871774846,23775831292,31225462809,43598747508,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674338344,84445475410,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.86049E+11,3.47454E+11,3.72314E+11,4.0234E+11,4.01647E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,30000000000,70000000000,63333333333,76000000000,75000000000,84230769231,1.04286E+11,79090000000,88416666667,1.10934E+11,1.11106E+11,1.26207E+11,76636898181,1.41352E+11,1.8972E+11,2.28779E+11,2.36754E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,1.0204E+11,1.29597E+11,1.83296E+11,2.22911E+11,2.63042E+11,3.29761E+11,4.06004E+11,3.78506E+11,4.62844E+11,5.59849E+11,6.07712E+11,6.22058E+11,5.40197E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,9957890702,10431217084,10881605059
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462960.8,137951849.4,153270367.7,173511108,201862959.4,245896292,286474069,338696290.3,373403697.1,391570363.5,410388881.6,423762955.5,456537029,500088880.1,494185176.5,541074064.5,579851841.6,620037026.1,651851840.3,783837838,773765171.5,802529319.2,839996355.5,898356132.3,997374111.1,1135143593,1289254333,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,1269117037
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18574308433,19651696719,19886885429,21500727965,23758539590,25930115354,27255011759,30383021615,32647552917,36612162616,41252099899,45127113899,51936915888,63700192184,88789977892,97098183804,1.04833E+11,1.10116E+11,1.18238E+11,1.34608E+11,1.49679E+11,1.76558E+11,1.93684E+11,1.76929E+11,1.93232E+11,1.80216E+11,1.82033E+11,1.89113E+11,2.35787E+11,2.99475E+11,3.10945E+11,3.25642E+11,3.25313E+11,3.12029E+11,3.22874E+11,3.68023E+11,4.0141E+11,4.35636E+11,3.99325E+11,3.88692E+11,4.14987E+11,3.78488E+11,3.94251E+11,4.66451E+11,6.12872E+11,6.93339E+11,7.47206E+11,8.53441E+11,1.05503E+12,9.26283E+11,1.14127E+12,1.38807E+12,1.53443E+12,1.56037E+12,1.45377E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335961895,17815453244,22006488481,29444374165,35104534747,39962708383,42856485388,51421613521,61902776462,73759135358,81861199745,70863141524,71103573445,71947295848,67821539096,69219606278,98797566471,1.23869E+11,1.33018E+11,1.32785E+11,1.66062E+11,1.73375E+11,1.94608E+11,1.89921E+11,2.03045E+11,2.40458E+11,2.36721E+11,2.12323E+11,2.17684E+11,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.99857E+11,3.14649E+11,3.34309E+11,3.86459E+11,4.27612E+11,3.97594E+11,3.89679E+11,4.29073E+11,4.07575E+11,4.28322E+11,4.36344E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965
