Country Name,Country Code,gdp1960,gdp1961,gdp1962,gdp1963,gdp1964,gdp1965,gdp1966,gdp1967,gdp1968,gdp1969,gdp1970,gdp1971,gdp1972,gdp1973,gdp1974,gdp1975,gdp1976,gdp1977,gdp1978,gdp1979,gdp1980,gdp1981,gdp1982,gdp1983,gdp1984,gdp1985,gdp1986,gdp1987,gdp1988,gdp1989,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gini1960,gini1961,gini1962,gini1963,gini1964,gini1965,gini1966,gini1967,gini1968,gini1969,gini1970,gini1971,gini1972,gini1973,gini1974,gini1975,gini1976,gini1977,gini1978,gini1979,gini1980,gini1981,gini1982,gini1983,gini1984,gini1985,gini1986,gini1987,gini1988,gini1989,gini1990,gini1991,gini1992,gini1993,gini1994,gini1995,gini1996,gini1997,gini1998,gini1999,gini2000,gini2001,gini2002,gini2003,gini2004,gini2005,gini2006,gini2007,gini2008,gini2009,gini2010,gini2011,gini2012,gini2013,gini2014
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,78617623.27,89406586.73,113414400.3,150841574.7,186557162.7,220112878.4,227284060,253998002.9,308020287.9,411548360.7,446377569.6,388982992.8,375914806.2,327849981.7,330073056.7,346742877.5,481996190.4,611300146.9,721425970.1,795489459.1,1028989390,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20310881087,20841951232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,6666666667,6666666667,6666666667,6666666667,10000000000,10000000000,11428571429,5652173913,5274509804,4059431863,5039543188,7526446606,7648377524,6445041784,6152922936,9129594816,8936079251,12497346041,14188949241,19640862550,28233699333,41789493189,60448887583,84178084132,75492416520,82470894869,1.04E+11,1.15E+11,1.24E+11,1.31E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64,,,,,,,,42.66,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166676,709452572.3,1228071038,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373455,5652325082,7464446950,8376668352,9132558097,10701011524,12881353508,12044208086,11926957255,12890866743,12344529628,12916669736,13370191506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.74,,,31.7,,,29.98,,,,28.96,,
Arab World,ARB,,,,,,,,,25659088715,28308267322,31224239182,36229613726,43135168197,54780879976,1.05E+11,1.16E+11,1.44E+11,1.66E+11,1.84E+11,2.47E+11,3.37E+11,3.47E+11,3.23E+11,3.03E+11,3.07E+11,3.03E+11,2.88E+11,3.12E+11,3.06E+11,3.21E+11,4.44E+11,4.37E+11,4.68E+11,4.73E+11,4.84E+11,5.20E+11,5.74E+11,6.09E+11,5.88E+11,6.40E+11,7.31E+11,7.19E+11,7.25E+11,8.18E+11,9.59E+11,1.18E+12,1.40E+12,1.63E+12,2.07E+12,1.79E+12,2.10E+12,2.49E+12,2.75E+12,2.84E+12,2.86E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,14720672878,19213022837,24871774846,23775831292,31225462809,43598747508,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674338344,84445475410,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.86E+11,3.47E+11,3.72E+11,4.02E+11,4.02E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,,,,30000000000,70000000000,63333333333,76000000000,75000000000,84230769231,1.04E+11,79090000000,88416666667,1.11E+11,1.11E+11,1.26E+11,76636898181,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,1.02E+11,1.30E+11,1.83E+11,2.23E+11,2.63E+11,3.30E+11,4.06E+11,3.79E+11,4.63E+11,5.60E+11,6.08E+11,6.22E+11,5.40E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,42.79,45.28,,,,46.76,45.47,44.86,45.92,48.9,49.52,49.11,50.73,49.79,51.06,53.34,53.79,53.54,50.18,49.27,48.26,47.37,46.27,45.27,44.5,43.57,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,9957890702,10431217084,10881605059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.42,,36.01,,,35.36,34.78,33.03,37.51,35.8,32.49,29.83,30.71,29.58,31.07,31.32,30.3,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
